hostname,ip,category,switch_port,description,reachable,os,kernel,cpu,cpu_threads,ram_total,primary_ip,gpu_summary,nvidia_persistenced,ollama_active,ollama_models,failed_services
spot-ui-01,192.168.10.12,ENGINEERING,7,Interface / dashboard,True,Ubuntu 24.04.4 LTS,6.17.0-22-generic,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,8,30Gi,192.168.10.12,,inactive,inactive,,3
spot-worker-01,192.168.10.10,ENGINEERING,5,Worker node,True,Ubuntu 22.04.5 LTS,5.15.0-177-generic,AMD EPYC 4245P 6-Core Processor,12,30Gi,192.168.10.10,"0, NVIDIA GeForce RTX 3060, GPU-3fe10587-6253-1847-40c7-b1a5ba3c1a56, 00000000:01:00.0, 12288, 535.288.01, 38, 16.32, 170.00",active,active,qwen2.5-coder:7b 4.7 GB;qwen2.5:14b 9.0 GB llama3.1:8b 4.9 GB;mistral:7b 4.4 GB,3
spot-worker-02,192.168.10.11,ENGINEERING,4,Worker node,True,Ubuntu 24.04.4 LTS,6.8.0-111-generic,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,4,15Gi,192.168.10.11,"0, NVIDIA TITAN Xp, GPU-0090971c-efc4-b9eb-a1b9-d127cc77650c, 00000000:01:00.0, 12288, 580.142, 33, 17.39, 250.00;1, Quadro M4000, GPU-df37cf4b-9f71-6aa8-43b7-ab55693fdef1, 00000000:02:00.0, 8192, 580.142, 53, 42.86, 120.00",active,active,mistral:7b 4.4 GB;bge-m3:latest 1.2 GB nomic-embed-text:latest 274 MB,0
spot-worker-03,192.168.10.13,ENGINEERING,6,Worker node,True,Ubuntu 24.04.4 LTS,6.8.0-111-generic,AMD Ryzen 7 2700X Eight-Core Processor,16,31Gi,192.168.10.13,"0, NVIDIA GeForce GTX 1070, GPU-3a66bdad-85a1-0f7a-5048-30508862e003, 00000000:05:00.0, 8192, 580.126.09, 32, 7.71, 151.00;1, NVIDIA GeForce RTX 3060, GPU-b647d860-02c8-2c3c-a99c-ae0800e7a349, 00000000:06:00.0, 12288, 580.126.09, 32, 15.62, 170.00",active,active,codellama:7b 3.8 GB;deepseek-coder:6.7b 3.8 GB qwen2.5:14b 9.0 GB;qwen2.5-coder:7b 4.7 GB,0
spot-worker-04,192.168.10.14,ENGINEERING,8,Worker node,True,Ubuntu 24.04.4 LTS,6.8.0-111-generic,13th Gen Intel(R) Core(TM) i7-13700KF,24,62Gi,192.168.10.14,"0, Quadro P6000, GPU-1a54a95a-f9cb-08ea-ef40-bf3cb8a54af7, 00000000:01:00.0, 24576, 580.126.09, 25, 8.99, 250.00",active,active,qwen3:32b 20 GB;qwen2.5-coder:32b 19 GB qwen2.5:14b 9.0 GB,2
spot-worker-05,192.168.10.15,ENGINEERING,,Visual / render node,False,,,,,,,,,,,
spot-worker-06,192.168.10.16,ENGINEERING,,Utility prime candidate,True,Ubuntu 24.04.4 LTS,6.8.0-111-generic,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,16,31Gi,192.168.10.16,"0, Quadro P6000, GPU-9f013ff4-9576-674f-e630-47af0308820a, 00000000:01:00.0, 23040, 535.288.01, 22, 8.85, 250.00",active,active,deepseek-r1:32b 19 GB;qwen2.5-coder:32b 19 GB qwen2.5:14b 9.0 GB,0
spot-worker-07,192.168.10.17,ENGINEERING,,Heavy secondary candidate,False,,,,,,,,,,,
